Trial,Channel,Discovery_s,Clear_s,ClearInterval_s,DiscoveryToClear_s
9,1,670.663323596471,1165.13692349618,190.158912358175,494.473599899711
9,2,1390.3258882509,1612.65073400186,447.513810505674,222.32484575096
9,16,1468.3258882509,1783.6747676636,171.024033661747,315.348879412707
9,17,1861.6747676636,1922.27715069944,138.60238303584,60.6023830358404
9,6,2562.91390842303,2703.01072934458,780.733578645133,140.09682092155
9,7,2568.91390842303,2790.30843473063,87.2977053860564,221.394526307606
9,20,2616.91390842303,2916.1719941878,125.863559457171,299.258085764777
9,15,2610.91390842303,3067.61279474509,151.44080055729,456.698886322067
9,4,2550.91390842303,3215.57612829286,147.963333547768,664.662219869835
9,11,3540.11587582233,3719.52833957722,503.952211284358,179.412463754889
9,10,3534.11587582233,3888.04602024855,168.517680671331,353.930144426221
9,8,3906.04602024855,4035.31432593158,147.268305683026,129.268305683026
9,5,3900.04602024855,4131.24140549828,95.9270795667094,231.195385249735
10,4,448,684.075792387917,684.075792387917,236.075792387917
10,18,786.075792387917,1011.77334614936,327.697553761443,225.697553761443
10,12,1077.77334614936,1242.54640307196,230.773056922599,164.773056922599
10,11,1071.77334614936,1352.86420309561,110.317800023654,281.090856946253
10,15,1424.86420309561,1540.92937282112,188.065169725509,116.065169725509
10,9,1400.86420309561,1615.86483076393,74.9354579428041,215.000627668313
10,16,1951.77954256812,2102.83157784164,486.96674707771,151.052035273519
10,2,1897.77954256812,2229.62891073248,126.797332890842,331.849368164361
10,14,1945.77954256812,2401.74586487538,172.116954142898,455.966322307259
10,19,1963.77954256812,2595.90307105992,194.157206184544,632.123528491802
10,10,2637.90307105992,2876.37666394284,280.473592882917,238.473592882917
10,13,3391.85797454658,3581.07488438702,704.698220444181,189.216909840436
10,7,3379.85797454658,3867.19797644618,286.12309205916,487.340001899595
10,6,3891.19797644618,4084.91440499896,217.716428552783,193.716428552783
10,8,4108.91440499896,4320.54105421982,235.626649220857,211.626649220857
10,5,4338.54105421982,4400.57524330673,80.0341890869086,62.0341890869086
11,15,514,617.010643850302,617.010643850302,103.010643850302
11,3,966.855674259361,1157.00189997446,539.991256124161,190.146225715102
11,1,954.855674259361,1272.20363781807,115.201737843602,317.347963558704
11,10,1008.85567425936,1365.59474666898,93.391108850913,356.739072409617
11,4,972.855674259361,1472.02945489626,106.434708227283,499.1737806369
11,12,1851.51783960179,2080.9627551206,608.933300224344,229.44491551881
11,18,2429.12003565187,2512.75105825335,431.788303132743,83.6310226014803
11,2,2363.12003565187,2616.75430960714,104.003251353797,253.634273955277
11,20,2357.12003565187,2756.73406003237,139.979750425227,399.614024380504
11,17,2816.73406003237,2861.91952296597,105.185462933594,45.1854629335944
11,8,3110.70915269598,3242.28473246617,380.365209500203,131.575579770191
11,16,3290.28473246617,3470.76727745629,228.482544990119,180.482544990119
12,8,472,661.462728864118,661.462728864118,189.462728864118
12,4,1066.65900692507,1227.65906134288,566.196332478762,161.000054417806
12,15,1126.65900692507,1327.27605901901,99.6169976761278,200.617052093934
12,2,1054.65900692507,1545.82337436941,218.5473153504,491.164367444334
12,18,1892.41291232766,1987.28132109623,441.457946726818,94.8684087685658
12,16,2456.56846427935,2585.6828411321,598.401520035871,129.114376852744
12,12,2438.56846427935,2799.87567548958,214.192834357485,361.307211210229
12,6,2408.56846427935,2961.70441850927,161.828743019686,553.135954229915
12,13,3009.70441850927,3240.79667854312,279.092260033857,231.092260033857
12,11,3778.4751774172,3954.49109467052,713.694416127398,176.01591725332
12,20,3796.4751774172,4150.72850535393,196.237410683412,354.253327936732
12,10,3772.4751774172,4225.54006505715,74.8115597032156,453.064887639948
12,9,3766.4751774172,4432.98357555847,207.44351050132,666.508398141268
13,17,526,616.906935457689,616.906935457689,90.9069354576886
13,8,472,700.597323134499,83.6903876768107,228.597323134499
13,3,1153.99072145757,1332.30680210933,631.709478974831,178.316080651759
13,11,1195.99072145757,1470.86636578276,138.559563673434,274.875644325193
13,7,1177.99072145757,1611.9715574122,141.105191629434,433.980835954627
13,6,1966.19507235976,2136.02896346446,524.057406052262,169.833891104704
13,19,2562.48032934127,2644.29617949404,508.267216029585,81.8158501527737
13,16,2550.48032934127,2852.31782013964,208.021640645595,301.837490798369
13,2,2864.31782013964,3052.11143751224,199.793617372603,187.793617372603
13,20,2924.31782013964,3186.99861804176,134.887180529523,262.680797902126
13,13,3228.99861804176,3488.59491225488,301.59629421311,259.59629421311
13,10,3216.99861804176,3539.77332278266,51.1784105277875,322.774704740898
13,9,3563.77332278266,3757.9334319602,218.160109177533,194.160109177533
13,5,3775.9334319602,3965.21683082983,207.28339886963,189.28339886963
14,13,502,619.322566320526,619.322566320526,117.322566320526
14,12,496,730.1555702609,110.833003940375,234.1555702609
14,11,1156.02870531335,1302.20767004209,572.052099781187,146.178964728734
14,4,2103.22704229889,2275.29963245032,973.091962408236,172.072590151436
14,9,2133.22704229889,2364.89167280022,89.5920403498999,231.664630501336
14,20,2175.22704229889,2436.83719256153,71.9455197613102,261.610150262646
14,8,2127.22704229889,2536.20966998154,99.3724774200032,408.982627682649
14,16,2596.20966998154,2815.27996239938,279.070292417846,219.070292417846
14,2,2827.27996239938,3068.09720590315,252.817243503764,240.817243503764
14,5,3086.09720590315,3390.25798852581,322.160782622659,304.160782622659
14,18,3395.25798852581,3656.53085814138,266.27286961557,261.27286961557
14,17,3443.25798852581,3841.24386149365,184.713003352274,397.985872967844
14,1,3847.24386149365,3933.90916854513,92.6653070514849,86.6653070514849
14,15,4088.55071138524,4269.97504962067,336.065881075537,181.424338235429
15,7,466,619.619504465593,619.619504465593,153.619504465593
15,20,424,696.379756720391,76.7602522547975,272.379756720391
15,19,538,856.770700296723,160.390943576332,318.770700296723
15,5,886.770700296723,1140.53372153432,283.763021237602,253.763021237602
15,2,1152.53372153432,1362.51041459985,221.976693065522,209.976693065522
15,16,1440.51041459985,1726.47513634535,363.964721745503,285.964721745503
15,6,2465.06226562638,2619.35815300471,892.883016659356,154.295887378322
15,1,2447.06226562638,2733.89518909368,114.537036088974,286.832923467296
15,12,2495.06226562638,2866.44063640764,132.545447313963,371.378370781258
15,3,3532.98457930274,3703.52009071839,837.079454310753,170.535511415651
16,13,502,732.078770309844,732.078770309844,230.078770309844
16,7,466,921.771141260124,189.692370950281,455.771141260124
16,11,490,1080.57496996503,158.803828704908,590.574969965032
16,20,424,1208.84884511816,128.27387515313,784.848845118162
16,17,526,1302.6064935179,93.7576483997418,776.606493517903
16,5,454,1461.11735859074,158.510865072835,1007.11735859074
16,15,1527.11735859074,1726.44306167126,265.325703080516,199.325703080516
16,16,1792.44306167126,1888.60572667979,162.162665008538,96.1626650085382
16,10,1774.44306167126,2013.00680772463,124.40108104484,238.563746053378
16,12,1780.44306167126,2172.20741689461,159.200609169974,391.764355223352
16,14,1786.44306167126,2370.99317098,198.785754085393,584.550109308745
16,18,2418.99317098,2476.12714896631,105.133977986306,57.1339779863065
16,9,2827.09076743258,2905.27518833285,429.148039366545,78.1844209002711
16,19,2785.09076743258,3122.37748149472,217.102293161864,337.286714062135
16,4,3695.87506628791,3885.99555341962,763.618071924908,190.120487131711
16,2,4344.34484223236,4525.15152381206,639.155970392433,180.806681579694
17,4,448,665.197942958939,665.197942958939,217.197942958939
17,18,532,787.893593575997,122.695650617057,255.893593575997
17,7,1178.85740875003,1400.44683618012,612.553242604119,221.589427430085
17,6,1430.44683618012,1722.11829798798,321.671461807864,291.671461807864
17,17,1490.44683618012,1909.44195877896,187.32366079098,418.995122598845
17,8,1939.44195877896,2294.81724906214,385.375290283177,355.375290283177
17,12,1963.44195877896,2318.15819578055,23.3409467184133,354.71623700159
17,5,2647.38313543674,2889.29615161578,571.137955835235,241.913016179044
17,20,2623.38313543674,3082.60855209361,193.31240047783,459.225416656874
17,3,3100.60855209361,3360.71273288052,278.104180786906,260.104180786906
17,2,3860.91107387606,3994.7458016455,634.03306876498,133.834727769439
17,16,3848.91107387606,4081.7158649254,86.9700632798981,232.804791049337
18,8,472,653.796679123147,653.796679123147,181.796679123147
18,9,478,761.731980810791,107.935301687644,283.731980810791
18,6,460,856.166088383369,94.434107572578,396.166088383369
18,5,454,972.382344200944,116.216255817575,518.382344200944
18,3,1767.44766072246,1918.97222571284,946.589881511897,151.52456499038
18,1,2273.02338969209,2519.88776068561,600.915534972768,246.864370993524
18,12,2309.02338969209,2664.57251741901,144.684756733404,355.549127726928
18,19,2351.02338969209,2889.22910739436,224.65658997535,538.205717702278
18,11,2303.02338969209,3023.60100232049,134.371894926122,720.5776126284
18,17,2339.02338969209,3205.35864273273,181.75764041224,866.33525304064
18,15,3247.35864273273,3400.95764842221,195.59900568948,153.59900568948
18,2,3406.95764842221,3700.78645057837,299.828802156168,293.828802156168
18,7,3717.78645057837,3965.08193595296,264.295485374583,247.295485374583
18,18,3705.78645057837,4169.97483963284,204.892903679884,464.188389054467
18,20,4205.97483963284,4244.0899212645,74.1150816316585,38.1150816316585
19,4,448,618.464826940264,618.464826940264,170.464826940264
19,12,496,783.552885925657,165.088058985394,287.552885925657
19,1,430,944.281790851274,160.728904925617,514.281790851274
19,16,520,1119.524898344,175.243107492725,599.524898343999
19,7,1149.524898344,1375.85371195676,256.328813612758,226.328813612758
19,15,1191.524898344,1532.69779004164,156.844078084878,341.172891697636
19,11,1580.69779004164,1961.53374151914,428.8359514775,380.8359514775
19,2,1967.53374151914,2147.95275190472,186.419010385583,180.419010385583
19,13,2189.95275190472,2409.09525810944,261.142506204726,219.142506204726
19,5,2953.77262770951,3085.98106674783,676.885808638384,132.208439038316
19,10,2977.77262770951,3251.22173886881,165.240672120984,273.449111159299
19,18,2995.77262770951,3411.91854660056,160.696807731748,416.145918891047
19,9,3435.91854660056,3654.14046216911,242.22191556855,218.22191556855
19,6,3423.91854660056,3840.66575051196,186.525288342852,416.747203911402
19,3,3846.66575051196,4097.54439021809,256.87863970613,250.87863970613
20,20,957,1127.72159286152,1127.72159286152,170.72159286152
20,12,915,1324.38716989853,196.66557703701,409.38716989853
20,4,1700.71207210577,1894.09031182865,569.70314193012,193.378239722878
20,9,1730.71207210577,1998.67232346772,104.582011639069,267.960251361948
20,17,2482.10184323165,2576.98154378577,578.309220318053,94.8797005541182
20,19,2666.98154378577,2886.2296478852,309.248104099432,219.248104099432
20,2,2898.2296478852,3012.66182153558,126.432173650373,114.432173650373
20,8,2928.2296478852,3099.95006965112,87.2882481155407,171.720421765914
20,1,3633.78364950067,3781.74762973231,681.797560081191,147.963980231641
20,13,3675.78364950067,3925.42943347647,143.681803744156,249.645783975797
21,12,496,679.096306727275,679.096306727275,183.096306727275
21,5,454,991.776263069408,312.679956342133,537.776263069408
21,16,1075.77626306941,1296.70632105752,304.930057988109,220.930057988109
21,14,1368.70632105752,1480.82167201078,184.115350953265,112.115350953265
21,4,1320.70632105752,1807.26424159352,326.44256958274,486.557920536005
21,19,2194.32681869995,2277.33257793483,470.068336341308,83.0057592348817
21,8,2146.32681869995,2359.67637881457,82.3438008797375,213.349560114619
21,13,2413.67637881457,2653.62868904482,293.952310230253,239.952310230253
21,18,2431.67637881457,2831.95011108602,178.321422041199,400.273732271452
21,9,3082.53195613446,3318.63697649027,486.686865404248,236.105020355808
21,11,3360.63697649027,3562.02918071386,243.392204223595,201.392204223595
22,7,466,642.443495935845,642.443495935845,176.443495935845
22,10,484,731.755710997156,89.3122150613108,247.755710997156
22,17,526,844.999475112405,113.243764115249,318.999475112405
22,2,436,990.082997298615,145.08352218621,554.082997298615
22,8,1705.22286017783,1912.73293171154,922.649934412922,207.510071533703
22,18,1753.22286017783,2078.76916967648,166.036237964944,325.546309498647
22,12,1723.22286017783,2338.92785073241,260.158681055933,615.70499055458
22,15,2398.92785073241,2598.06025914856,259.132408416142,199.132408416142
22,16,2404.92785073241,2776.18998136118,178.129722212628,371.262130628771
22,4,2794.18998136118,3034.70914103013,258.519159668944,240.519159668944
22,14,3082.70914103013,3181.41445738753,146.705316357405,98.7053163574051
22,3,3046.70914103013,3261.47750227025,80.0630448827128,214.768361240118
22,5,3504.85119731469,3642.08084043999,380.603338169748,137.229643125305
22,11,3522.85119731469,3807.2520809451,165.171240505111,284.400883630416
23,15,514,624.471116817202,624.471116817202,110.471116817202
23,12,496,722.879500948293,98.4083841310907,226.879500948293
23,14,508,870.333565850295,147.454064902002,362.333565850295
23,1,1246.40589958755,1423.01022622934,552.676660379047,176.60432664179
23,6,1276.40589958755,1521.11595402051,98.1057277911714,244.710054432961
23,10,1914.80804928362,2137.45605468918,616.340100668672,222.648005405567
23,8,1902.80804928362,2311.75421285848,174.298158169291,408.946163574858
23,11,1920.80804928362,2484.81247722483,173.058264366356,564.004427941213
23,19,1950.80804928362,2658.02484816823,173.212370943403,707.216798884616
23,3,1878.80804928362,2776.07633032414,118.051482155908,897.268281040524
23,9,1908.80804928362,2926.55391475056,150.477584426418,1017.74586546694
23,20,2980.55391475056,3199.43245901386,272.878544263296,218.878544263296
