Trial,Channel,Discovery_s,Clear_s,ClearInterval_s,DiscoveryToClear_s
1,12,71,402.644208054333,402.644208054333,331.644208054333
1,11,65,559.978718746017,157.334510691685,494.978718746017
1,10,59,598.845364027101,38.8666452810837,539.845364027101
1,17,101,635.27315921408,36.4277951869791,534.27315921408
1,9,53,711.624016744655,76.3508575305748,658.624016744655
1,18,504.644208054333,802.291753639538,90.6677368948832,297.647545585206
1,8,450.644208054333,890.76419810185,88.4724444623121,440.119990047518
1,1,408.644208054333,975.235224663478,84.4710265616275,566.591016609145
1,7,444.644208054333,1024.28909193345,49.0538672699699,579.644883879115
1,16,492.644208054333,1085.05306012108,60.7639681876333,592.408852066748
1,19,510.644208054333,1155.31206213279,70.2590020117102,644.667854078459
1,6,438.644208054333,1273.99376691506,118.681704782265,835.349558860724
1,13,474.644208054333,1341.33360508901,67.3398381739569,866.68939703468
2,2,11,423.937978300464,423.937978300464,412.937978300464
2,7,459.937978300464,619.015613676746,195.077635376282,159.077635376282
2,14,501.937978300464,679.683831557852,60.6682178811059,177.745853257388
2,6,453.937978300464,755.264175440477,75.5803438826248,301.326197140013
2,20,537.937978300464,816.149420087147,60.8852446466705,278.211441786683
2,15,507.937978300464,872.881839155983,56.7324190688356,364.943860855519
2,16,513.937978300464,959.672607506682,86.7907683506986,445.734629206218
2,17,519.937978300464,1036.54362489622,76.8710173895402,516.605646595758
2,3,435.937978300464,1155.61699849973,119.073373603507,719.679020199264
2,8,47,1195.1058995774,39.4889010776685,1148.1058995774
2,18,525.937978300464,1314.17547193558,119.069572358179,788.237493635112
2,19,531.937978300464,1445.91830387386,131.742831938281,913.980325573393
2,4,441.937978300464,1477.17709357054,31.2587896966872,1035.23911527008
2,1,429.937978300464,1517.01989429225,39.8428007217099,1087.08191599179
2,5,447.937978300464,1533.43190993624,16.4120156439817,1085.49393163577
3,3,17,404.343344703214,404.343344703214,387.343344703214
3,4,422.343344703214,759.602041138388,355.258696435173,337.258696435173
3,11,464.343344703214,804.5866781132,44.9846369748124,340.243333409986
3,6,434.343344703214,859.949689600728,55.3630114875274,425.606344897513
3,19,512.343344703214,926.704172030306,66.7544824295786,414.360827327092
3,7,440.343344703214,949.459692083374,22.7555200530676,509.116347380159
3,20,518.343344703214,966.539354320921,17.0796622375474,448.196009617707
