x,y,L,U,gap,dist,status,neval
818.467449413994,580.150100351113,55.6389583550598,55.7388269156932,0.0998685606334035,1003.22634768414,converged,167
818.467449413994,-580.150100351113,55.6389583550602,55.7388269156936,0.0998685606333964,1003.22634768414,converged,167
812.467449413994,-586.150100351113,55.7985167801585,55.8829385822981,0.0844218021395378,1001.83596286962,converged,182
812.467449413994,586.150100351113,55.7985167801581,55.8829385822979,0.0844218021397509,1001.83596286962,converged,182
818.467449413994,574.150100351113,55.8945442751025,55.9782685536299,0.0837242785274057,999.76862497452,converged,176
818.467449413994,-574.150100351113,55.8945442751029,55.9782685536301,0.0837242785271712,999.76862497452,converged,176
806.467449413994,592.150100351113,55.9483124238874,56.0287121329026,0.0803997090152464,1000.5156112276,converged,182
806.467449413994,-592.150100351113,55.9483124238876,56.028712132903,0.0803997090154382,1000.5156112276,converged,182
812.467449413994,580.150100351113,56.0431465626231,56.1192521806603,0.0761056180371824,998.337365470555,converged,176
812.467449413994,-580.150100351113,56.0431465626234,56.1192521806603,0.0761056180368982,998.337365470555,converged,176
818.467449413994,568.150100351113,56.1423131624565,56.2242428382879,0.0819296758314252,996.335035155961,converged,173
818.467449413994,-568.150100351113,56.1423131624564,56.2242428382883,0.0819296758319297,996.335035155961,converged,173
844.829055209375,-511.897147368629,56.95140993344,57.0432948992777,0.0918849658377283,987.813151365229,converged,156
844.829055209375,511.897147368629,56.9514099334397,57.0432948992773,0.0918849658376288,987.813151365229,converged,156
818.467449413994,-556.150100351113,56.6700425041017,56.7683633530058,0.0983208489040877,989.54125728582,converged,167
818.467449413994,556.150100351113,56.6700425041012,56.7683633530054,0.0983208489042013,989.54125728582,converged,167
799.220825448724,-589.980072810212,56.5006706548826,56.5714310197994,0.070760364916822,993.393383380463,converged,176
806.467449413994,-580.150100351113,56.4329905749342,56.5015145500431,0.0685239751088886,993.460560818455,converged,176
806.467449413994,580.150100351113,56.4329905749338,56.5015145500433,0.0685239751094926,993.460560818455,converged,176
770.467449413994,-628.150100351113,56.8584232011554,56.9544773728933,0.0960541717378902,994.07878922026,converged,175
770.467449413994,628.150100351113,56.8584232011553,56.9544773728933,0.0960541717379968,994.078789220261,converged,175
812.467449413994,-574.150100351113,56.2941702444725,56.361961854804,0.0677916103314757,994.862650867181,converged,176
812.467449413994,574.150100351113,56.294170244472,56.3619618548042,0.0677916103321863,994.862650867181,converged,176
765.744237823232,636.403053333597,56.8572048110094,56.9537577693871,0.0965529583777069,995.677198720453,converged,175
