x,y,hat,ell_pair,L,U,status,neval,time_s,dist
502.128179869424,-34.1264764912419,1275.63132932588,380.444596497837,NaN,NaN,not_evaluated,0,0,503.286524175531
502.128179869424,34.1264764912421,1275.63132932587,380.444596497837,NaN,NaN,not_evaluated,0,0,503.286524175531
503.638105557073,13.9801568230977,3105.55722030066,450.304483479131,NaN,NaN,pair_pruned,0,0,503.832101154656
505.860300294784,-40.7664282730699,1062.59003655792,255.551839170976,NaN,NaN,not_evaluated,0,0,507.500290727475
513.512958746316,111.577399923449,386.52346039966,127.263897746367,NaN,NaN,not_evaluated,0,0,525.495076070246
520.714346386076,118.234095552219,361.415162997391,127.263897746367,NaN,NaN,not_evaluated,0,0,533.968849169434
526.220756799297,40.786296216147,1031.86809384619,250.912095634464,NaN,NaN,not_evaluated,0,0,527.799021262314
528.489785664805,-170.63238245621,249.951413519119,127.263897746367,NaN,NaN,not_evaluated,0,0,555.352917967227
528.489785664805,-102.379429473726,411.950400860162,127.263897746367,NaN,NaN,not_evaluated,0,0,538.314964617738
528.489785664805,-34.1264764912419,1228.86697521162,375.456601755461,NaN,NaN,not_evaluated,0,0,529.590473809469
528.489785664805,34.1264764912421,1228.86697521162,375.456601755461,NaN,NaN,not_evaluated,0,0,529.590473809469
528.489785664805,102.379429473726,411.950400860161,127.263897746367,NaN,NaN,not_evaluated,0,0,538.314964617738
528.489785664805,170.63238245621,249.951413519118,127.263897746367,NaN,NaN,not_evaluated,0,0,555.352917967227
529.187900400455,64.4274725831161,651.452923658338,250.912095634464,NaN,NaN,not_evaluated,0,0,533.095425935816
535.75625936746,185.259866797909,228.592345912633,127.263897746367,NaN,NaN,not_evaluated,0,0,566.882693065675
536.06922913174,-235.477605569455,182.038482259018,127.263897746367,NaN,NaN,not_evaluated,0,0,585.508258820166
542.591225976613,261.421873453625,163.745224842176,127.263897746367,NaN,NaN,not_evaluated,0,0,602.284512856514
546.175451640965,-7.25810171622413,5628.34606987502,450.194900273027,NaN,NaN,not_evaluated,0,0,546.223675810318
547.421807687438,-172.076091195855,241.390052449345,127.263897746367,NaN,NaN,not_evaluated,0,0,573.829954510068
547.809645642779,238.056328421457,177.287407121642,127.263897746367,NaN,NaN,not_evaluated,0,0,597.299107115331
551.358169478073,212.684099706649,196.088172574429,127.263897746367,NaN,NaN,not_evaluated,0,0,590.957153538426
554.851391460185,-238.885335438694,174.985789184694,127.263897746367,NaN,NaN,not_evaluated,0,0,604.091276292715
554.851391460185,-170.63238245621,240.791268390563,127.263897746367,NaN,NaN,not_evaluated,0,0,580.495888484997
554.851391460185,-102.379429473726,396.628052355104,127.263897746367,NaN,NaN,not_evaluated,0,0,564.21770105578
554.851391460185,-34.1264764912419,1182.81407608179,255.551839170976,NaN,NaN,not_evaluated,0,0,555.899885773519
554.851391460185,34.1264764912421,1182.81407608178,255.551839170976,NaN,NaN,not_evaluated,0,0,555.899885773519
554.851391460185,102.379429473726,396.628052355103,127.263897746367,NaN,NaN,not_evaluated,0,0,564.21770105578
554.851391460185,170.63238245621,240.791268390563,127.263897746367,NaN,NaN,not_evaluated,0,0,580.495888484997
554.851391460185,238.885335438694,174.985789184694,127.263897746367,NaN,NaN,not_evaluated,0,0,604.091276292715
556.268509484527,-9.59330937448397,4196.01114726394,450.076145979349,NaN,NaN,not_evaluated,0,0,556.35122560204
559.463716031357,194.093672170233,211.422868669,127.263897746367,NaN,NaN,not_evaluated,0,0,592.175652262182
559.786116668094,255.916906114081,163.052727470788,102.009999723554,NaN,NaN,not_evaluated,0,0,615.511136576218
560.507787822782,277.390121434618,151.327720778408,102.009999723554,NaN,NaN,not_evaluated,0,0,625.391285260277
560.644669019971,-211.231176668266,194.786164760392,127.263897746367,NaN,NaN,not_evaluated,0,0,599.116895853533
561.741685748704,-6.27390478026439,6364.33053062505,450.194900273027,NaN,NaN,not_evaluated,0,0,561.776720226984
564.277285707103,28.9341685114761,1375.56002462002,380.444596497837,NaN,NaN,not_evaluated,0,0,565.01862028824
570.852468100458,23.8433237278356,1652.77223673012,380.444596497837,NaN,NaN,not_evaluated,0,0,571.350194209099
572.320463329246,340.174626696484,124.274643939307,36.3846323647678,NaN,NaN,not_evaluated,0,0,665.784867200731
573.281327854767,-13.7199138394287,2861.19764899016,380.28461203762,NaN,NaN,not_evaluated,0,0,573.445478578989
579.108629403225,-324.885563250995,128.13844337527,36.3846323647678,NaN,NaN,not_evaluated,0,0,664.016139757308
581.212997255566,-307.138288421177,134.224666153651,36.3846323647678,68.1976832152856,169.514587842183,pruned,19,0.0047618,657.37544553557
