Algorithm,MeanAverage_s,PooledAverage_s,MeanTotal_s,MeanMove_s,MeanMeasure_s,FullClearRate,Below300Rate
base,323.360783808953,317.214815216412,4103.96667186233,2909.49167186233,941.3125,1,0.375
optimized,323.598809426089,317.633698434433,4109.38597349547,2914.49847349547,941.6875,1,0.3625
