Algorithm,MeanAverage_s,PooledAverage_s,MeanTotal_s,MeanMove_s,MeanMeasure_s,FullClearRate,Below300Rate
base,304.668941596755,299.254469475377,3976.34376315407,2995.31876315407,760.75,1,0.45
optimized,290.752765772928,285.577875578159,3794.61602174479,2871.19102174479,709.9375,1,0.575
