Trial,Algorithm,Error,N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,AnchorRadius_m
18,optimized,,10,10,2877.02535692521,287.702535692521,0.123890875,1,2134.02535692521,110,580,53,0,1200
19,base,,11,11,3672.85378996059,333.895799087326,0.1140615,1,2642.85378996059,155,820,55,344.786625731599,NaN
19,optimized,,11,11,3046.91132959619,276.991939054199,0.116218791666667,1,2280.91132959619,113,595,58,290.375257637691,1260
20,base,,11,11,3586.59204331177,326.053822119251,0.111349708333333,1,2464.59204331177,168,890,64,307.363141120956,NaN
20,optimized,,11,11,3481.881090031,316.534644548272,0.137486708333333,1,2507.881090031,146,770,58,0,1200
21,base,,10,10,3334.05729881453,333.405729881453,0.112291166666667,1,2337.05729881453,149,795,53,281.72028568831,NaN
21,optimized,,10,10,2930.81470516019,293.081470516019,0.117312958333333,1,1996.81470516019,141,740,53,243.306583501435,1200
22,base,,11,11,3483.05856480988,316.64168770999,0.10578175,1,2548.05856480989,140,740,55,0,NaN
22,optimized,,11,11,3276.55577995628,297.868707268753,0.118588458333333,1,2457.55577995628,121,640,58,0,1260
23,base,,10,10,3658.23682738204,365.823682738204,0.123765208333333,1,2651.23682738204,152,805,50,0,NaN
23,optimized,,10,10,2978.93626771175,297.893626771175,0.11295675,1,2036.93626771175,142,750,50,0,1200
24,base,,12,12,3833.94564901851,319.495470751543,0.104728416666667,1,2906.94564901851,137,730,60,0,NaN
24,optimized,,12,12,3464.46764293703,288.705636911419,0.13742975,1,2411.46764293703,158,835,60,0,1200
25,base,,15,15,3716.19181868519,247.746121245679,0.129156625,1,2792.19181868519,130,710,84,281.313919941709,NaN
25,optimized,,15,15,3596.92073681971,239.794715787981,0.135185458333333,1,2762.92073681971,117,630,87,140.831296835684,1200
26,base,,16,16,3770.68438053321,235.667773783326,0.111152041666667,1,2818.68438053321,134,735,83,0,NaN
26,optimized,,16,16,3412.08683457609,213.255427161006,0.11950825,1,2569.08683457609,118,645,80,0,1200
27,base,,11,11,3250.4568125499,295.496073868172,0.107776375,1,2344.4568125499,133,715,58,274.964340405786,NaN
27,optimized,,11,11,3003.59352447776,273.053956770705,0.115449333333333,1,2188.59352447776,120,640,55,0,1200
28,base,,10,10,3544.64757065771,354.464757065771,0.108077375,1,2547.64757065771,151,790,56,517.716555405538,NaN
28,optimized,,10,10,3062.70669477549,306.270669477549,0.119355083333333,1,2323.70669477549,111,575,53,0,1200
29,base,,15,15,3886.0046360069,259.066975733793,0.123674125,1,3059.0046360069,115,625,87,191.533969008655,NaN
29,optimized,,15,15,3500.66891970127,233.377927980085,0.122678625,1,2784.66891970127,101,540,75,184.738849747536,1200
30,base,,15,15,3714.82320797462,247.654880531641,0.105100083333333,1,2949.82320797462,109,575,81,660.426151174881,NaN
