Trial,Algorithm,Error,N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,AnchorRadius_m
9,optimized,,16,16,4596.15816579079,287.259885361925,0.418616625,1,3779.15816579079,106,610,101,0,1200
10,base,,16,16,3914.95245183503,244.68452823969,0.20980225,1,2856.95245183503,153,810,95,0,NaN
10,optimized,,16,16,4122.1198989922,257.632493687013,0.174680875,1,3131.1198989922,137,750,104,0,1200
11,base,,10,10,4181.31847941111,418.131847941111,0.185839375,1,3110.31847941111,156,850,65,0,NaN
11,optimized,,10,10,3988.7018707145,398.87018707145,0.166189041666667,1,2873.7018707145,166,890,59,0,1380
12,base,,11,11,3798.02088723777,345.274626112525,0.17670625,1,2599.02088723777,180,955,64,388.338952501987,NaN
12,optimized,,11,11,3416.49747494325,310.590679540296,0.185760375,1,2589.49747494325,121,645,61,0,1320
13,base,,15,15,4054.34717913377,270.289811942252,0.142831041666667,1,3159.34717913377,125,680,90,536.891507753928,NaN
13,optimized,,15,15,3423.9148397665,228.260989317767,0.151142166666667,1,2679.9148397665,104,550,90,152.196610271247,1200
14,base,,12,12,3940.98797779702,328.415664816419,0.145818791666667,1,3050.98797779702,128,690,72,432.889526424762,NaN
14,optimized,,12,12,3881.73734954556,323.47811246213,0.146175625,1,3087.73734954556,111,605,78,0,1200
15,base,,13,13,3654.57373727358,281.121056713352,0.153799583333333,1,2546.57373727358,157,865,86,281.601453588338,NaN
15,optimized,,13,13,3150.46945076559,242.343803905045,0.164159958333333,1,2365.46945076559,112,590,83,0,1320
16,base,,15,15,4263.08401507515,284.20560100501,0.14606775,1,3386.08401507515,124,675,78,0,NaN
16,optimized,,15,15,4102.04403214555,273.469602143037,0.161969541666667,1,3245.04403214555,118,655,84,0,1260
17,base,,16,16,3856.60089417841,241.037555886151,0.174788875,1,3039.60089417841,109,610,98,0,NaN
17,optimized,,16,16,3680.5797292816,230.0362330801,0.158797666666667,1,2859.5797292816,110,610,101,0,1260
18,base,,13,13,4248.0324549025,326.771727300193,0.163444583333333,1,3240.0324549025,147,790,71,725.184478539066,NaN
18,optimized,,13,13,3731.8340267901,287.064155906931,0.158344916666667,1,2696.8340267901,150,805,80,542.115710481438,1200
19,base,,15,15,3999.24516665241,266.616344443494,0.192686833333333,1,2805.24516665241,175,935,84,149.239880279014,NaN
19,optimized,,15,15,3854.10662140555,256.940441427036,0.150261125,1,2665.10662140555,166,915,108,0,1320
20,base,,16,16,3440.96777471519,215.060485919699,0.176532958333333,1,2680.96777471519,99,560,101,0,NaN
20,optimized,,16,16,3916.17790438209,244.76111902388,0.162006083333333,1,3097.17790438209,109,615,95,0,1200
21,base,,10,10,3621.83379351152,362.183379351152,0.145932625,1,2536.83379351153,161,865,59,292.085204130345,NaN
21,optimized,,10,10,3566.92270290135,356.692270290135,0.151188666666667,1,2476.92270290135,161,870,59,281.577347405957,1320
22,base,,16,16,4221.3986063572,263.837412897325,0.150794208333333,1,3110.3986063572,162,860,89,0,NaN
22,optimized,,16,16,3642.72607051706,227.670379407316,0.150533083333333,1,2639.72607051706,143,765,95,0,1200
23,base,,13,13,3839.99098624401,295.38392201877,0.152499708333333,1,2961.99098624401,130,680,68,0,NaN
23,optimized,,13,13,3404.88661613898,261.914355087614,0.167653666666667,1,2473.88661613898,132,725,74,0,1320
24,base,,12,12,4076.62785980292,339.71898831691,0.138022916666667,1,2947.62785980292,168,895,66,0,NaN
24,optimized,,12,12,4038.33987700576,336.528323083813,0.144806333333333,1,3019.33987700576,150,800,69,0,1320
25,base,,13,13,3831.93472929577,294.764209945828,0.143175916666667,1,2822.93472929577,144,785,80,0,NaN
25,optimized,,13,13,3407.02033680005,262.078487446158,0.149785458333333,1,2398.02033680005,143,780,86,0,1200
26,base,,11,11,4152.4477450469,377.495249549718,0.138381208333333,1,2913.4477450469,186,995,58,267.689655747438,NaN
26,optimized,,11,11,4105.25438799832,373.204944363484,0.144298041666667,1,2858.25438799832,186,1000,61,250.648894286213,1380
27,base,,12,12,3780.8957211914,315.074643432617,0.137722291666667,1,2855.8957211914,131,710,84,453.709197567067,NaN
27,optimized,,12,12,3493.92062330439,291.160051942032,0.143970916666667,1,2572.92062330439,129,705,87,420.612171489349,1260
28,base,,12,12,3851.91302567224,320.992752139354,0.14045375,1,2828.91302567225,148,800,75,286.390249143258,NaN
