Algorithm,MeanAverage_s,PooledAverage_s,MeanTotal_s,MeanMove_s,MeanMeasure_s,FullClearRate,Below300Rate
base,300.613309993371,294.045828211063,3727.03087257523,2797.61087257523,725.025,1,0.54
optimized,276.359703037696,270.771511414373,3432.02890717718,2547.52890717718,687.1,1,0.7
