Trial,Channel,IsDirectional,Discovery_s,Clear_s,ClearInterval_s,DiscoveryToClear_s
6,19,1,5302.66914819349,5490.98608239367,481.936656554894,188.316934200176
6,17,1,5290.66914819349,5640.0843390904,149.09825669673,349.415190896905
6,18,1,5949.80736060734,6069.43736256722,429.353023476817,119.630001959874
6,4,1,6196.31943069336,6398.04478548528,328.607422918062,201.725354791918
6,7,1,6694.70951710163,6935.17434615387,537.129560668591,240.46482905224
6,16,1,7233.53136770557,7356.19747336359,421.023127209717,122.666105658016
6,3,1,7185.53136770557,7649.28694760419,293.089474240601,463.755579898617
6,1,0,2058.80989711166,7942.81516656721,293.528218963025,5884.00526945555
7,13,0,392,666.286344102141,666.286344102141,274.286344102141
7,15,0,779.94106972685,958.201337341963,291.914993239822,178.260267615113
7,11,0,1146.49751001198,1316.04574458643,357.844407244467,169.54823457445
7,18,0,1176.49751001198,1457.9375221051,141.891777518666,281.440012093115
7,17,1,2003.48416933142,2191.8011035316,733.863581426502,188.316934200177
7,2,1,1931.48416933142,2351.64677528586,159.845671754264,420.162605954441
7,5,1,1949.48416933142,2532.2688614609,180.622086175034,582.784692129475
7,3,1,4843.03144037798,5032.96347872119,2500.69461726029,189.932038343206
7,1,0,4038.22616860516,5613.18559686353,580.22211814234,1574.95942825837
7,8,1,5976.58232172176,6150.41542196011,537.229825096585,173.833100238357
7,10,1,6284.67655331829,6541.73296177879,391.317539818678,257.056408460498
7,6,1,6750.0280506688,6943.90130031278,402.168338533991,193.873249643982
7,19,1,7103.98336270117,7302.44819175341,358.546891440628,198.46482905224
8,6,0,350,657.389131632562,657.389131632562,307.389131632562
8,8,0,1025.46671173805,1267.51744112758,610.128309495016,242.050729389533
8,3,1,1001.46671173805,1430.65608516488,163.1386440373,429.189373426833
8,20,0,1694.16420984442,1840.70263559956,410.046550434682,146.538425755145
8,4,1,1610.16420984442,2022.40258467728,181.699949077717,412.238374832862
8,9,1,2229.98542683363,2410.98902107121,388.586436393931,181.003594237582
8,10,1,4067.38474999477,4328.14536875114,1917.15634767993,260.760618756369
8,5,1,4055.38474999477,4565.03507192237,236.889703171225,509.650321927594
8,16,0,3470.43773612154,4877.65459863013,312.619526707761,1407.21686250859
8,1,1,5432.81597754429,5609.16771307345,731.513114443323,176.351735529159
8,2,0,5438.81597754429,5853.61992058352,244.452207510067,414.803943039225
8,19,0,6037.77947899024,6150.20516756841,296.585246984895,112.425688578173
8,12,0,6268.0301343227,6413.37644761782,263.171280049406,145.346313295116
8,17,1,6547.43405171385,6725.60309106196,312.226643444145,178.169039348111
8,15,1,6541.43405171385,7323.41561809659,597.812527034622,781.981566382733
9,18,0,856.702474277916,1073.0018205593,1073.0018205593,216.299346281389
9,10,0,808.702474277916,1486.54943823464,413.547617675333,677.846963956722
9,8,0,1860.86316357496,2011.28908633277,524.739648098132,150.425922757814
9,14,0,1890.86316357496,2110.35150906028,99.0624227275109,219.488345485325
9,13,0,2321.69845423893,2476.29488545367,365.943376393394,154.596431214748
9,17,0,2642.89353488267,2781.04058482121,304.74569936754,138.147049938541
9,16,1,2636.89353488267,3229.90306892293,448.862484101715,593.009534040256
9,19,0,3659.85502954611,3835.74994409839,605.846875175464,175.894914552287
9,6,0,3623.85502954611,3916.54323374898,80.7932896505877,292.688204202875
9,15,0,4356.6219595883,4479.92232230664,563.379088557658,123.300362718335
9,1,0,4302.6219595883,4592.49916573521,112.576843428576,289.877206146911
9,7,0,4332.6219595883,4697.41637052762,104.917204792403,364.794410939314
9,12,1,6466.75797862422,6701.22280767646,2003.80643714885,234.46482905224
10,14,0,832.702474277916,1082.43907349992,1082.43907349992,249.736599222001
10,7,1,1149.12399975509,1413.58882880734,331.149755307419,264.464829052241
