N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,Error
10,4,10,6715.96954293148,671.596954293148,0.15146825,1,4401.96954293148,349,1870,95,0,25,0,2,39,3224.8888804003,1177.08066253118,
11,5,11,6713.05325007324,610.277568188476,0.110604708333333,1,4553.05325007324,320,1710,130,440.477752689068,25,0,6,40,3186.25030172569,1366.80294834755,
16,9,16,7718.58074698618,482.411296686636,0.108382125,1,5461.58074698618,300,1625,332,0,24,0,10,50,2589.17644118371,2872.40430580247,
13,2,13,6725.83871892895,517.372209148381,0.115043791666667,1,4689.83871892895,296,1585,155,370.130998346895,25,0,4,49,3032.62707089158,1657.21164803737,
12,8,12,7147.23104004529,595.602586670441,0.115145083333333,1,4838.23104004529,324,1745,240,123.195870719935,25,0,8,35,3081.56041609008,1756.67062395521,
14,5,14,6713.68844266433,479.549174476023,0.117960875,1,4687.68844266432,293,1585,148,409.152294744054,25,0,6,52,3044.6775137879,1643.01092887642,
10,5,10,7525.25621740136,752.525621740136,0.10691775,1,5115.25621740136,352,1870,188,1203.33172095413,25,0,6,36,3685.37437735894,1429.88184004242,
14,11,14,7430.07640944649,530.719743531892,0.109505,1,5247.0764094465,298,1605,280,371.172491226813,25,0,7,41,3299.79289442929,1947.2835150172,
13,1,13,7172.27228574342,551.713252749494,0.126044791666667,1,4938.27228574342,330,1755,149,0,25,0,3,52,3235.16956516412,1703.1027205793,
12,11,12,7501.87937376139,625.156614480115,0.13839725,1,4992.87937376139,345,1855,309,290.561671422986,25,0,12,31,3032.67389708141,1960.20547667997,
15,4,15,7113.0907466905,474.206049779367,0.12586625,1,5131.0907466905,278,1500,204,0,25,0,7,52,2771.10381940123,2359.98692728927,
