Trial,Channel,IsDirectional,Discovery_s,Clear_s,ClearInterval_s,DiscoveryToClear_s
1,11,1,65,376.900686934782,376.900686934782,311.900686934782
1,18,1,107,652.298466381402,275.397779446621,545.298466381402
1,13,1,478.961887610432,879.111746262326,226.813279880924,400.149858651894
1,12,1,731.315167489355,1264.35322234666,385.241476084336,533.038054857307
1,8,1,713.315167489355,1480.0195137722,215.666291425536,766.704346282844
1,6,1,1970.23847411278,2421.66490160731,941.645387835109,451.426427494526
1,7,1,2745.99762072532,3183.73812723494,762.073225627628,437.740506509615
1,1,1,412.961887610432,3273.43730225159,89.699175016658,2860.47541464116
1,19,1,514.961887610432,3585.52635868965,312.089056438055,3070.56447107922
1,16,1,3138.70009500324,3894.96857556319,309.442216873545,756.268480559957
1,10,1,2939.34885786428,4143.60064262036,248.632067057169,1204.25178475608
1,17,1,1824.88723697382,5927.05457809551,1783.45393547515,4102.16734112169
1,9,1,460.961887610432,6493.21792879736,566.163350701854,6032.25604118693
2,5,1,29,410.49204976691,410.49204976691,381.49204976691
2,12,1,71,732.566716341104,322.074666574194,661.566716341104
2,15,1,556.737399033089,858.159328446277,125.592612105173,301.421929413187
2,1,1,1579.61333394818,2105.41635615486,1247.25702770859,525.803022206688
2,18,1,1663.61333394818,2661.28899986261,555.87264370775,997.675665914438
2,14,1,1645.61333394818,2744.39877786447,83.1097780018522,1098.78544391629
2,17,1,1657.61333394818,3255.19832039833,510.79954253386,1597.58498645015
2,4,1,3410.48559906734,3585.91516415513,330.716843756805,175.429565087789
2,6,1,3765.97543972135,4052.89084136144,466.97567720631,286.915401640094
2,20,1,586.737399033089,4685.83314692855,632.942305567111,4099.09574789546
2,19,1,4782.15605267149,5085.62648423056,399.793337302008,303.470431559068
2,2,1,4788.15605267149,5292.63713625165,207.010652021091,504.481083580159
2,13,1,2038.31580822609,5649.25652165516,356.619385403514,3610.94071342907
2,3,1,4951.50728981045,7058.00904756727,1408.7525259121,2106.50175775682
3,6,1,1219.40494855583,1780.36251350344,1780.36251350344,560.957564947612
3,5,1,778.702474277916,3233.2820248776,1452.91951137415,2454.57955059968
3,16,1,410,4169.08955467333,935.807529795734,3759.08955467333
3,11,1,3749.10704845993,4279.56398269322,110.474428019888,530.45693423329
3,8,1,1666.10742283375,4746.79422586976,467.230243176544,3080.68680303602
3,17,1,1940.99729516175,5183.85763949718,437.063413627415,3242.86034433543
3,1,1,5462.83595971197,5982.86983421517,799.012194717995,520.033874503206
3,2,1,5468.83595971197,6911.7780318242,928.908197609032,1442.94207211224
3,3,1,1862.99729516175,7307.75038569861,395.972353874407,5444.75309053686
3,15,1,1708.10742283375,7508.55817682716,200.807791128545,5800.45075399341
4,20,1,119,333.054874581597,333.054874581597,214.054874581597
4,7,1,41,505.90402270354,172.849148121942,464.90402270354
4,19,1,474.834631739141,844.691125682665,338.787102979125,369.856493943524
4,18,1,1816.91531175823,2100.92124354642,1256.23011786375,284.005931788184
4,11,1,3072.07297273922,3345.86170071204,1244.94045716562,273.788727972821
4,14,1,444.834631739141,4487.72508775019,1141.86338703815,4042.89045601105
4,2,1,597.616949084624,4626.24925018735,138.524162437158,4028.63230110272
4,1,1,934.678288818793,6560.25714655979,1934.00789637244,5625.578857741
4,4,1,1840.91531175823,6906.14373136215,345.886584802363,5065.22841960392
4,9,1,2189.83594979978,7152.02761693965,245.883885577495,4962.19166713987
5,15,1,89,301.316934200177,301.316934200177,212.316934200177
5,20,1,655.757003689327,1096.19554083352,794.878606633343,440.438537144193
5,18,1,969.108240828284,1538.22164034341,442.026099509889,569.113399515124
5,7,1,909.108240828284,1743.66505596328,205.443415619867,834.556815134991
5,10,1,1216.83037907478,1860.90486872034,117.239812757063,644.074489645558
5,5,1,897.108240828284,2152.72697532393,291.822106603588,1255.61873449564
5,3,1,456.405766550369,2957.62879916863,804.901823844702,2501.22303261826
5,19,1,763.757003689327,3114.34577347839,156.716974309765,2350.58876978907
5,1,1,444.405766550369,3807.54360181594,693.197828337543,3363.13783526557
5,9,1,4191.37531261946,4469.12810470218,661.584502886242,277.752792082717
5,12,1,71,4842.60779678483,373.479692082648,4771.60779678483
5,16,1,95,5442.38693439204,599.779137607212,5347.38693439204
5,13,1,77,5524.10339955237,81.7164651603352,5447.10339955237
5,14,1,83,5815.78989304924,291.686493496863,5732.78989304924
