Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
10,base,,11,11,11,7325.46020993285,665.950928175714,0.175176041666667,1,4813.46020993285,367,1940,205,25,0,7,30,3120.18793972198,1693.27227021087,NaN,NaN
10,split,,11,11,11,7594.49931148202,690.409028316547,0.185617208333333,1,5084.49931148202,365,1940,205,25,0,7,29,3123.09871818886,1961.40059329316,4,1
11,base,,14,14,14,7716.60795169027,551.186282263591,0.150407041666667,1,5416.60795169027,320,1730,250,25,0,8,47,3279.89621880417,2136.7117328861,NaN,NaN
11,split,,14,14,14,7656.44856815459,546.889183439613,0.143167458333333,1,5411.44856815459,318,1725,202,25,0,5,46,3282.71852402459,2128.73004413,7,0
12,base,,12,12,12,7318.67004510728,609.889170425606,0.159068875,1,4859.67004510727,352,1870,237,25,0,8,32,3051.43491552133,1808.23512958595,NaN,NaN
12,split,,12,12,12,7281.41547056106,606.784622546755,0.155386083333333,1,4861.41547056106,352,1870,198,25,0,7,32,3051.81146780765,1809.60400275341,5,0
13,base,,13,13,13,7191.67977605845,553.206136619881,0.14454425,1,4951.67977605844,321,1755,164,25,0,7,33,3233.03417917227,1718.64559688617,NaN,NaN
13,split,,13,13,13,7181.58111811194,552.429316777842,0.157271333333333,1,4950.58111811194,320,1750,161,25,0,7,32,3233.03417917227,1717.54693893967,7,0
14,base,,13,13,13,7593.33987378943,584.103067214571,0.142711625,1,5450.33987378942,302,1635,206,25,0,8,41,3567.75223249542,1882.587641294,NaN,NaN
14,split,,13,13,13,7451.45499710832,573.188845931409,0.132140958333333,1,5373.45499710832,301,1625,152,25,0,6,39,3570.69638938123,1802.7586077271,6,1
15,base,,12,12,12,7392.94234906705,616.078529088921,0.153831875,1,4977.94234906706,347,1855,213,25,0,8,42,3150.52275515786,1827.4195939092,NaN,NaN
15,split,,12,12,12,7376.15581952192,614.679651626826,0.175166625,1,4979.15581952192,347,1855,195,25,0,7,42,3150.12543458544,1829.03038493648,6,0
16,base,,12,12,12,6718.04782039697,559.837318366414,0.147013583333333,1,4540.04782039697,311,1660,207,25,0,8,29,3217.95310202598,1322.094718371,NaN,NaN
16,split,,12,12,12,6589.41071154967,549.117559295806,0.14656625,1,4522.41071154967,305,1645,117,25,0,4,26,3217.96257111651,1304.44814043315,2,0
17,base,,14,14,14,7100.03644781548,507.145460558249,0.183828625,1,4668.03644781548,354,1885,193,25,0,5,39,3003.00039039626,1665.03605741922,NaN,NaN
17,split,,14,14,14,7077.09646476592,505.506890340423,0.18773175,1,4668.09646476592,356,1890,163,25,0,4,40,3002.11436116802,1665.9821035979,6,1
18,base,,12,12,12,6833.94132651913,569.495110543261,0.1482135,1,4711.94132651913,304,1650,168,25,0,7,37,2978.70425161782,1733.23707490132,NaN,NaN
18,split,,12,12,12,6818.38370774592,568.19864231216,0.155529708333333,1,4699.38370774592,304,1650,165,25,0,6,37,2978.47109400613,1720.9126137398,3,0
19,base,,12,12,12,6979.81310763684,581.65109230307,0.172433833333333,1,4763.81310763684,313,1675,228,25,0,9,34,3157.59999735897,1606.21311027786,NaN,NaN
19,split,,12,12,12,6857.15525700037,571.429604750031,0.242725125,1,4738.15525700038,311,1670,138,25,0,6,33,3155.49717724219,1582.65807975818,5,1
20,base,,16,16,16,7619.11102439545,476.194439024716,0.160356583333333,1,5227.11102439545,338,1815,239,25,0,9,43,3105.75625743418,2121.35476696127,NaN,NaN
20,split,,16,16,16,7583.5005257827,473.968782861419,0.138528208333333,1,5230.5005257827,338,1815,200,25,0,7,43,3103.34977901858,2127.15074676412,7,0
21,base,,16,16,16,8066.93032342543,504.183145214089,0.168188958333333,1,5612.93032342543,353,1865,236,25,0,6,50,2936.54064969935,2676.38967372608,NaN,NaN
21,split,,16,16,16,8057.13459613116,503.570912258197,0.137520458333333,1,5613.13459613116,351,1860,233,25,0,6,49,2936.68280592745,2676.45179020371,10,0
22,base,,16,16,16,5987.42898667271,374.214311667044,0.171281833333333,1,4086.42898667271,250,1340,311,20,0,11,45,1886.35139446229,2200.07759221043,NaN,NaN
22,split,,16,16,16,5956.99234510539,372.312021569087,0.151439958333333,1,4072.99234510539,249,1330,305,20,0,11,43,1888.11715991948,2184.87518518591,8,0
23,base,,11,11,11,7136.16906816661,648.742642560601,0.144523125,1,4611.16906816662,375,2005,145,25,0,7,34,3138.30455865822,1472.86450950839,NaN,NaN
23,split,,11,11,11,7125.61887756284,647.783534323895,0.134124041666667,1,4610.61887756284,373,2000,142,25,0,7,33,3137.01113157911,1473.60774598373,7,0
24,base,,12,12,12,7818.22097836176,651.51841486348,0.139651708333333,1,5420.22097836176,344,1865,189,25,0,6,39,3069.35409318351,2350.86688517826,NaN,NaN
24,split,,12,12,12,7818.22097836176,651.51841486348,0.146307833333333,1,5420.22097836176,344,1865,189,25,0,6,39,3069.35409318351,2350.86688517826,10,0
25,base,,11,11,11,7827.33136067058,711.57557824278,0.146023166666667,1,5409.33136067058,342,1835,241,25,0,7,29,3616.38001208279,1792.95134858779,NaN,NaN
25,split,,11,11,11,7797.0809448215,708.825540438319,0.148072833333333,1,5409.0809448215,342,1835,211,25,0,6,29,3616.38001208279,1792.70093273871,7,0
26,base,,10,10,10,6657.99247985099,665.799247985099,0.146003416666667,1,4431.99247985099,324,1735,167,25,0,6,29,3296.24542997348,1135.74704987751,NaN,NaN
26,split,,10,10,10,6583.46558303946,658.346558303946,0.151540291666667,1,4424.46558303946,322,1730,107,25,0,3,28,3291.54325494409,1132.92232809537,1,0
27,base,,14,14,14,7626.11325170874,544.722375122053,0.169750833333333,1,5316.11325170874,339,1820,151,25,0,6,41,3009.89072294981,2306.22252875894,NaN,NaN
27,split,,14,14,14,7626.11325170874,544.722375122053,0.164545708333333,1,5316.11325170874,339,1820,151,25,0,6,41,3009.89072294981,2306.22252875894,5,0
28,base,,10,10,10,7221.39060441963,722.139060441963,0.15838225,1,4657.39060441963,383,2035,146,25,0,7,29,3027.54783826819,1629.84276615144,NaN,NaN
28,split,,10,10,10,7203.38371144263,720.338371144263,0.155013,1,4657.38371144263,383,2035,128,25,0,6,29,3029.16849232055,1628.21521912208,4,0
29,base,,16,16,16,7242.05065354844,452.628165846778,0.14468225,1,5163.05065354844,267,1480,332,25,0,10,42,2889.03965134409,2274.01100220435,NaN,NaN
29,split,,16,16,16,7041.46949970567,440.091843731604,0.290010375,1,5079.46949970567,267,1480,215,25,0,7,42,2891.56632849722,2187.90317120845,7,0
30,base,,16,16,16,7188.13405975927,449.258378734954,1.40818204166667,1,4919.13405975927,304,1660,305,22,0,13,33,2501.63890394642,2417.49515581284,NaN,NaN
30,split,,16,16,16,7188.13405975927,449.258378734954,0.358111208333333,1,4919.13405975927,304,1660,305,22,0,13,33,2501.63890394642,2417.49515581284,7,0
