Algorithm,MeanAverage_s,PooledAverage_s,MeanTotal_s,MeanMove_s,MeanMeasureSwitch_s,MeanGlobalMove_s,MeanLocalMove_s,FullClearRate,Below300Rate,PairedMeanSaving_s,PairedSavingPct,PairedWinRate,SavingCI95Low_s,SavingCI95High_s
base,582.657539189859,570.220354955488,7412.86461442135,4964.03128108802,2209.43333333333,3027.65402639163,1936.37725469639,1,0,NaN,NaN,NaN,NaN,NaN
split,581.415187058692,568.98916648173,7396.85916426249,4966.62583092916,2210.43333333333,3028.33010975665,1938.29572117251,1,0,1.24235213116633,0.21322166926626,0.6,-0.118147663277165,2.60285192560982
