Algorithm,MeanAverage_s,PooledAverage_s,MeanTotal_s,MeanMove_s,MeanMeasureSwitch_s,MeanGlobalMove_s,MeanLocalMove_s,FullClearRate,Below300Rate
base,566.949472499679,554.287668555799,6984.02462380307,4752.12462380307,2039.675,3094.01868214868,1658.10594165439,1,0
split,566.516889312164,553.795548072789,6977.82390571714,4766.39890571714,2039.525,3095.4479097983,1670.95099591884,1,0
