Algorithm,MeanAverage_s,PooledAverage_s,MeanTotal_s,MeanMove_s,MeanMeasureSwitch_s,MeanGlobalMove_s,MeanLocalMove_s,FullClearRate,Below300Rate,PairedMeanSaving_s,PairedSavingPct,PairedWinRate,SavingCI95Low_s,SavingCI95High_s
base,548.712858369514,539.032368485416,7420.67893948257,5066.84560614924,2032.9,3116.45522712372,1950.39037902552,1,0,NaN,NaN,NaN,NaN,NaN
split,547.668834100058,538.030870514937,7406.89165075564,5061.65831742231,2032.4,3116.65430084019,1945.00401658211,1,0,1.04402426945601,0.190267870258828,0.333333333333333,-0.266897441230959,2.35494598014298
