Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
7,base,,14,13,14,8660.365109014,618.597507786714,0.134102041666667,1,5681.36510901399,402,2165,412,25,0,13,16,3398.82354082206,2282.54156819194,NaN,NaN
7,split,,14,13,14,8660.365109014,618.597507786714,0.135250375,1,5681.36510901399,402,2165,412,25,0,13,16,3398.82354082206,2282.54156819194,6,0
8,base,,13,9,13,7810.38386249463,600.798758653433,0.137165375,1,5289.38386249463,346,1840,335,25,0,11,20,3479.06086293323,1810.3229995614,NaN,NaN
8,split,,13,9,13,7851.55469147361,603.96574549797,0.136286291666667,1,5344.55469147362,348,1845,314,25,0,11,20,3479.06086293323,1865.49382854039,4,1
9,base,,16,15,16,8398.08176784134,524.880110490084,0.1389735,1,5902.08176784133,332,1790,374,22,0,12,22,3287.98326314113,2614.09850470022,NaN,NaN
9,split,,16,15,16,8398.08176784134,524.880110490084,0.143752916666667,1,5902.08176784133,332,1790,374,22,0,12,22,3287.98326314113,2614.09850470022,11,0
10,base,,15,11,15,7625.45783982015,508.36385598801,0.140294041666667,1,5454.45783982016,277,1510,384,25,0,13,21,3232.12007696625,2222.33776285391,NaN,NaN
10,split,,15,11,15,7625.45783982015,508.36385598801,0.130330708333333,1,5454.45783982016,277,1510,384,25,0,13,21,3232.12007696625,2222.33776285391,10,0
11,base,,13,9,13,7335.45057917996,564.265429167689,0.132562291666667,1,5122.45057917996,298,1610,305,25,0,11,20,3322.95600041527,1799.49457876468,NaN,NaN
11,split,,13,9,13,7335.45057917996,564.265429167689,0.139415625,1,5122.45057917996,298,1610,305,25,0,11,20,3322.95600041527,1799.49457876468,5,0
12,base,,16,5,16,5795.76028500326,362.235017812704,0.1348765,1,4083.76028500326,208,1100,404,18,0,13,29,1839.86604574269,2243.89423926058,NaN,NaN
12,split,,16,5,16,5795.76028500326,362.235017812704,0.137488041666667,1,4083.76028500326,208,1100,404,18,0,13,29,1839.86604574269,2243.89423926058,3,0
13,base,,12,8,12,8031.79696908086,669.316414090072,0.1630065,1,5514.79696908086,360,1905,252,25,0,8,22,3249.96844790119,2264.82852117967,NaN,NaN
13,split,,12,8,12,8031.79696908086,669.316414090072,0.138846375,1,5514.79696908086,360,1905,252,25,0,8,22,3249.96844790119,2264.82852117967,2,0
14,base,,16,2,16,6343.3439857395,396.458999108719,0.133523541666667,1,4475.3439857395,226,1205,437,22,0,14,30,2490.02649668962,1985.31748904988,NaN,NaN
14,split,,16,2,16,6326.61174680483,395.413234175302,0.13162825,1,4485.61174680483,227,1210,404,22,0,13,31,2490.02649668962,1995.58525011521,2,1
