Algorithm,MeanAverage_s,PooledAverage_s,MeanTotal_s,MeanMove_s,MeanMeasureSwitch_s,MeanGlobalMove_s,MeanLocalMove_s,FullClearRate,Below300Rate,PairedMeanSaving_s,PairedSavingPct,PairedWinRate,SavingCI95Low_s,SavingCI95High_s
base,572.323390474085,558.506723778899,7335.05497229621,5034.25497229621,2074.33333333333,3067.62341018819,1966.63156210802,1,0,NaN,NaN,NaN,NaN,NaN
split,569.569842432178,555.6803251814,7297.93493738239,5031.03493738239,2071.23333333333,3067.82137887409,1963.21355850831,1,0,2.75354804190656,0.481117509390217,0.766666666666667,0.474811705299714,5.03228437851342
