Algorithm,MeanAverage_s,PooledAverage_s,MeanTotal_s,MeanMove_s,MeanMeasureSwitch_s,MeanGlobalMove_s,MeanLocalMove_s,FullClearRate,Below300Rate,PairedMeanSaving_s,PairedSavingPct,PairedWinRate,SavingCI95Low_s,SavingCI95High_s
base,496.261375290879,484.079229608067,6470.52570242783,4451.6923690945,1846.5,2956.4613416638,1495.23102743069,1,0,NaN,NaN,NaN,NaN,NaN
split,487.852134372955,475.662393168961,6358.02065535845,4390.62065535845,1843.46666666667,2955.59809871005,1435.0225566484,1,0,8.40924091792353,1.69451852121164,0.866666666666667,5.17872432168482,11.6397575141622
