Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
25,split,,14,5,14,7303.68215752468,521.691582680334,0.154596083333333,1,5101.68215752468,303,1655,244,25,0,8,36,2768.76407496143,2332.91808256325,3,1
26,base,,12,10,12,8189.25121661255,682.437601384379,0.159029166666667,1,5491.25121661255,382,2040,276,25,0,8,26,3269.24650657954,2222.004710033,NaN,NaN
26,split,,12,10,12,8179.5734582815,681.631121523458,0.151153125,1,5491.5734582815,380,2035,273,25,0,8,25,3269.12543109508,2222.44802718641,5,0
27,base,,14,10,14,7984.20478732359,570.300341951685,0.145279833333333,1,5412.20478732359,359,1930,283,25,0,10,30,3242.22302540631,2169.98176191728,NaN,NaN
27,split,,14,10,14,7860.11530856925,561.436807754946,0.1490555,1,5301.11530856924,359,1935,265,25,0,9,31,3241.46809210888,2059.64721646036,3,2
28,base,,11,10,11,7209.90459791117,655.445872537379,0.141112958333333,1,4555.90459791117,394,2115,145,25,0,7,21,3059.63448079754,1496.27011711363,NaN,NaN
28,split,,11,10,11,7209.90459791117,655.445872537379,0.14604375,1,4555.90459791117,394,2115,145,25,0,7,21,3059.63448079754,1496.27011711363,5,0
29,base,,13,11,13,8395.08617768104,645.775859821619,0.258457041666667,1,5602.08617768104,406,2160,227,25,0,9,26,3241.05461206803,2361.03156561301,NaN,NaN
29,split,,13,11,13,8371.5301654217,643.963858878592,0.20926375,1,5603.53016542169,404,2155,209,25,0,8,25,3243.07895065799,2360.4512147637,3,1
30,base,,14,5,14,7436.37736196829,531.169811569163,0.166204583333333,1,4911.37736196829,371,1970,184,25,0,5,40,3153.26640236089,1758.1109596074,NaN,NaN
30,split,,14,5,14,7559.74670387524,539.98190741966,0.160955833333333,1,5026.74670387525,371,1975,187,25,0,5,40,3153.26640236089,1873.48030151436,4,1
